date,industry,gross_output_change
12/31/2015,retail_trade,5.2
12/31/2016,retail_trade,3.7
12/31/2017,retail_trade,3.4
12/31/2018,retail_trade,4.6
12/31/2019,retail_trade,2.3
12/31/1998,air_transportation,1.5
12/31/1999,air_transportation,-0.4
12/31/2000,air_transportation,-5.5
12/31/2001,air_transportation,-18.5
12/31/2002,air_transportation,-7.5
12/31/2003,air_transportation,7.2
12/31/2004,air_transportation,7.6
12/31/2005,air_transportation,1.6
12/31/2006,air_transportation,1.9
12/31/2007,air_transportation,3.3
12/31/2008,air_transportation,-2.4
12/31/2009,air_transportation,-7.6
12/31/2010,air_transportation,4.8
12/31/2011,air_transportation,11.2
12/31/2012,air_transportation,-4.1
12/31/2013,air_transportation,2.1
12/31/2014,air_transportation,2.6
12/31/2015,air_transportation,3.9
12/31/2016,air_transportation,1.6
12/31/2017,air_transportation,4.1
12/31/2018,air_transportation,4.6
12/31/2019,air_transportation,2.4
12/31/1998,real_estate,3.0
12/31/1999,real_estate,3.4
12/31/2000,real_estate,4.8
12/31/2001,real_estate,3.1
12/31/2002,real_estate,3.6
12/31/2003,real_estate,4.0
12/31/2004,real_estate,7.1
12/31/2005,real_estate,8.1
12/31/2006,real_estate,1.2
12/31/2007,real_estate,-0.1
12/31/2008,real_estate,-2.5
12/31/2009,real_estate,-1.3
12/31/2010,real_estate,2.8
12/31/2011,real_estate,1.9
12/31/2012,real_estate,2.9
12/31/2013,real_estate,2.5
12/31/2014,real_estate,2.8
12/31/2015,real_estate,4.3
12/31/2016,real_estate,2.9
12/31/2017,real_estate,1.0
12/31/2018,real_estate,2.7
12/31/2019,real_estate,2.1
